Height,Gender
182,M
178,M
183,M
182,M
173,M
182,M
182,M
175,M
173,M
173,M
181,M
176,M
186,M
186,M
162,F
174,M
180,M
165,F
165,F
170,F
173,M
180,M
170,M
181,M
181,M
178,M
173,M
167,F
163,F
180,M
175,M
170,M
192,M
163,F
178,M
183,M
184,M
170,M
175,M
187,M
180,M
162,F
176,M
176,M
178,M
175,M
183,M
173,M
180,M
180,M
178,M
165,M
167,M
173,M
158,F
175,F
186,M
180,M
176,M
183,M
176,M
177,M
172,M
188,M
168,F
176,F
174,M
175,M
182,M
183,M
183,M
172,M
174,F
165,F
164,F
173,M
180,M
188,M
180,M
188,M
181,M
180,M
182,M
173,F
173,M
175,M
187,M
165,M
179,M
178,M
180,M
186,M
175,F
178,M
170,M